Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_26_129,VDD,Metal1,69.3690,116.5810,1.198676
FILLER_26_122,VDD,Metal1,66.0090,116.5810,1.198697
FILLER_26_83,VDD,Metal1,45.8400,117.1800,1.198765
FILLER_26_81,VDD,Metal1,45.1200,117.1800,1.198765
FILLER_26_71,VDD,Metal1,40.0800,117.1800,1.198835
FILLER_26_69,VDD,Metal1,39.3600,117.1800,1.198973
FILLER_26_55,VDD,Metal1,32.4000,117.1800,1.199568
FILLER_26_48,VDD,Metal1,30.4890,116.5810,1.199783
FILLER_26_42,VDD,Metal1,26.1600,117.1800,1.199889
FILLER_26_40,VDD,Metal1,25.4400,117.1800,1.199889
FILLER_26_28,VDD,Metal1,20.1710,116.5830,1.199899
FILLER_26_21,VDD,Metal1,17.5290,116.5810,1.199898
FILLER_26_14,VDD,Metal1,14.1690,116.5810,1.199898
FILLER_26_7,VDD,Metal1,10.8090,116.5810,1.199898
FILLER_26_0,VDD,Metal1,7.4490,116.5810,1.199898
FILLER_25_204,VDD,Metal1,103.9200,109.6200,1.196431
FILLER_25_187,VDD,Metal1,96.0000,109.6200,1.199785
FILLER_25_183,VDD,Metal1,94.5710,110.2160,1.199864
FILLER_25_141,VDD,Metal1,73.9200,109.6200,1.199435
FILLER_25_129,VDD,Metal1,68.6510,110.2160,1.198838
FILLER_25_119,VDD,Metal1,63.1200,109.6200,1.198838
FILLER_25_115,VDD,Metal1,61.2000,109.6200,1.198751
FILLER_25_113,VDD,Metal1,60.4800,109.6200,1.198750
FILLER_25_105,VDD,Metal1,57.1310,110.2160,1.198729
FILLER_25_90,VDD,Metal1,49.2000,109.6200,1.198727
FILLER_25_86,VDD,Metal1,48.0110,110.2160,1.198727
FILLER_25_79,VDD,Metal1,45.3690,110.2180,1.198727
FILLER_25_70,VDD,Metal1,40.3310,110.2160,1.198749
FILLER_25_56,VDD,Metal1,33.6110,110.2160,1.199557
FILLER_25_49,VDD,Metal1,30.9690,110.2180,1.199621
FILLER_25_42,VDD,Metal1,27.6090,110.2180,1.199628
FILLER_25_35,VDD,Metal1,24.2490,110.2180,1.199636
FILLER_25_25,VDD,Metal1,18.2400,109.6200,1.199884
FILLER_25_21,VDD,Metal1,16.8110,110.2160,1.199884
FILLER_25_14,VDD,Metal1,13.4510,110.2160,1.199880
FILLER_25_7,VDD,Metal1,10.8090,110.2180,1.199880
FILLER_25_0,VDD,Metal1,7.4490,110.2180,1.199880
FILLER_24_194,VDD,Metal1,100.5690,109.0210,1.196871
FILLER_24_149,VDD,Metal1,77.7600,109.6200,1.199548
FILLER_24_102,VDD,Metal1,55.2000,109.6200,1.198726
FILLER_24_96,VDD,Metal1,52.0800,109.6200,1.198725
FILLER_24_92,VDD,Metal1,50.8910,109.0230,1.198725
FILLER_24_85,VDD,Metal1,48.2490,109.0210,1.198727
FILLER_24_64,VDD,Metal1,36.9600,109.6200,1.198836
FILLER_24_60,VDD,Metal1,35.5310,109.0230,1.198951
FILLER_24_53,VDD,Metal1,32.8890,109.0210,1.199557
FILLER_24_21,VDD,Metal1,16.0800,109.6200,1.199884
FILLER_24_11,VDD,Metal1,11.5200,109.6200,1.199880
FILLER_24_7,VDD,Metal1,10.0910,109.0230,1.199880
FILLER_24_0,VDD,Metal1,7.4490,109.0210,1.199880
FILLER_23_208,VDD,Metal1,105.8400,102.0600,1.199590
FILLER_23_201,VDD,Metal1,103.9290,102.6580,1.199590
FILLER_23_195,VDD,Metal1,99.6000,102.0600,1.199611
FILLER_23_158,VDD,Metal1,81.8400,102.0600,1.199386
FILLER_23_156,VDD,Metal1,81.1200,102.0600,1.199385
FILLER_23_149,VDD,Metal1,78.9690,102.6580,1.199381
FILLER_23_142,VDD,Metal1,75.6090,102.6580,1.199367
FILLER_23_124,VDD,Metal1,65.5200,102.0600,1.199338
FILLER_23_87,VDD,Metal1,48.0000,102.0600,1.199430
FILLER_23_83,VDD,Metal1,46.5710,102.6560,1.199430
FILLER_23_74,VDD,Metal1,41.5200,102.0600,1.199443
