2026-02-08 21:26:31 +0000: Memory Usage (429228K) : psd_drw has 2707 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429228K) : nldb_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429356K) : digibnd_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429356K) : via1_drw has 2510 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429612K) : backmetal1_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429612K) : backmetal1_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429612K) : backmetal1_mask has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429740K) : backmetal1_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429740K) : backmetal1_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429868K) : backmetal1_slit has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429868K) : backmetal1_text has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429996K) : backmetal1_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429996K) : backmetal1_noqrc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430124K) : backmetal1_res has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430124K) : backmetal1_iprobe has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430252K) : backmetal1_diffprb has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430252K) : backpassiv_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430380K) : res_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430380K) : sram_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430380K) : trans_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430764K) : ind_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430764K) : ind_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430892K) : ind_text has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430892K) : salblock_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430892K) : via2_drw has 2086 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430892K) : metal3_drw has 1292 polygons
2026-02-08 21:26:31 +0000: Memory Usage (430892K) : metal3_pin has 41 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431020K) : metal3_mask has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431020K) : metal3_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431148K) : metal3_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431276K) : metal3_slit has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431276K) : metal3_text has 227 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431404K) : metal3_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431404K) : metal3_noqrc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431532K) : metal3_res has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431532K) : metal3_iprobe has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431660K) : metal3_diffprb has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431660K) : nwell_drw has 1349 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431788K) : nwell_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431788K) : nbulay_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431916K) : nbulay_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (431916K) : nbulay_block has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432044K) : emwind_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432044K) : emwind_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432172K) : deepco_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432172K) : deepco_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432300K) : mim_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432300K) : edgeseal_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432428K) : edgeseal_bound has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432428K) : substrate_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432556K) : substrate_text has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432556K) : dfpad_drw has 0 polygons
